new,price,refurbished,title,day,id
,9024.0,Reacondicionado,Macbook Pro 15 Retina Finales 2013 256gb-ssd 8gb I7 (Reacondicionado),23/12/2023,9607046699
,7124.0,Reacondicionado,Macbook Pro 13 Mid 2012 256gb-ssd 4gb I5 (Reacondicionado),23/12/2023,3525317896
Usado  |  1 vendido,400.0,,Touchpad Trackpad Laptop Macbook A1278 Late 2008,23/12/2023,4770815447
Usado  |  1 vendido,250.0,,Ventilador Laptop Macbook A1278 2009 Al 2012 N/p Ksb0505hb,23/12/2023,7012987422
Usado  |  1 vendido,250.0,,Power Jack Macbook Pro A1278 A1286 2008-2012 N/p 820-2565-a,23/12/2023,8660480238
,4600.0,Reacondicionado,Macbook Pro 13'' Modelo A1278 Apple  (Reacondicionado),23/12/2023,8831156944
,4465.0,Reacondicionado,Macbook Pro 13 Mid 2010 320gb-hdd 4gb Intel Core 2 Duo (Reacondicionado),23/12/2023,6257891484
Usado,22000.0,,Macbook Pro 2020 De 13 Pulgadas - 250 Gb. Como Nueva!!,23/12/2023,5050325340
,8074.0,Reacondicionado,Macbook Pro 13 Retina Mid 2014 256gb-ssd 8gb I5 (Reacondicionado),23/12/2023,2588762621
,5130.0,Reacondicionado,Macbook Pro 15 Mid 2010 500gb-hdd 8gb I7 (reacondicionado) (Reacondicionado),23/12/2023,897386053
,5224.0,Reacondicionado,Macbook pro 15 Mid 2010 500gb-hdd 8gb I5 (reacondicionado) (Reacondicionado),23/12/2023,2084941766
Nuevo  |  1 vendido,1178.0,,Protector Matte Negro Macbook Pro 13.3 Negro Xtreme C,23/12/2023,6413175677
Usado,19999.0,,Macbook Pro 2019 16 I9-9880 8 Core 16gb 1tb Gris Rp 5500m,23/12/2023,7223832972
4 vendidos,11658.0,Reacondicionado,Apple Macbook Pro 2018 I5 2.3ghz 8gb Ssd 256gb 13.3 Touchbar (Reacondicionado),24/12/2023,4199059969
+5 vendidos,26999.0,Reacondicionado,Macbook Retina 16 Touch Bar 2019 Core I9 16gb 512ssd 5300m (Reacondicionado),24/12/2023,6390377325
+50 vendidos,9931.0,Reacondicionado,Apple Macbook Pro 2017 13.3 Intel Core I5 2.3ghz 8gb Ram Ssd (Reacondicionado),24/12/2023,5845411825
+50 vendidos,4334.0,Reacondicionado,Macbook Pro 13 2012 Macos Catalina Apple Buena Batería (Reacondicionado),24/12/2023,1767199179
+50 vendidos,4959.0,Reacondicionado,Macbook Pro 13 2012 Mac Os Catalina Apple Buena Batería Msi (Reacondicionado),24/12/2023,2272200574
3 vendidos,30399.0,Reacondicionado,Macbook Retina 16 Touch Bar 2019 Intel I9 32gb 1tb 5500m (Reacondicionado),24/12/2023,8181250509
2 vendidos,9399.0,Reacondicionado,"Macbook Pro 2017 (inch 13), Cre I5, 8gb De Ram, 250gb (Reacondicionado)",24/12/2023,95906186
1 vendido,29449.0,Reacondicionado,Macbook Retina 16 Touch Bar 2019 Core I9 32gb 1tb 5500m (Reacondicionado),24/12/2023,4741379867
4 vendidos,27381.0,Reacondicionado,Macbook Pro 2018 Core I9 32gb Ram 4tb Ssd Touch Bar 2.9 Ghz (Reacondicionado),24/12/2023,3719986083
+5 vendidos,15922.0,Reacondicionado,Apple Macbook Pro Retina I7 3.1 2017 16gb Ssd 1tb 15.4 2gb (Reacondicionado),24/12/2023,9866279910
+5 vendidos,28600.0,Reacondicionado,Macbook Retina 16 Touch Bar 2019 Intel I7 32gb 512ssd 5300m (Reacondicionado),24/12/2023,5349769501
2 vendidos,14995.0,Reacondicionado,Macbook Pro 15 Retina A1707 Touchbar I7 16gb 256gb Radeon (Reacondicionado),24/12/2023,46850371
3 vendidos,11187.0,Reacondicionado,Apple Macbook Pro Retina/core I7/8 Ram/500 Gb Ssd/13.3/ Msi (Reacondicionado),24/12/2023,5908364791
+5 vendidos,20749.0,Reacondicionado,Macbook Retina 16 Touch Bar 2019 Intel I7 16gb 512ssd 5300m (Reacondicionado),24/12/2023,4526809573
+5 vendidos,7667.0,Reacondicionado,Laptop Apple Macbook Pro 13 PuLG 16gb Ram 512gb Core I7 (Reacondicionado),24/12/2023,4870204111
,10000.0,Reacondicionado,Macbook Pro Touch Bar 2017 8gb Ram Touch Id 512gb 13 Inch (Reacondicionado),24/12/2023,3475838761
,29998.0,Reacondicionado,Apple Macbook Pro 2019 Core I7 2.6ghz 16gb Ssd 512gb 16 Inch (Reacondicionado),24/12/2023,656409802
Nuevo,4169.0,,"Reacondionado Macbook Pro 13 Pulgadas, 4gb Ram, 256gb, Ssd",24/12/2023,2081280764
+50 vendidos,8808.0,Reacondicionado,Apple Macbook Pro 2016 13.3 I5 2.0ghz 8gb Ram 250gb Ssd (Reacondicionado),24/12/2023,9259191275
+5 vendidos,4851.0,Reacondicionado,Macbook Pro 13 2012 Mac Os Catalina Apple Msi (Reacondicionado),24/12/2023,4574348584
1 vendido,6389.0,Reacondicionado,Macbook Pro Retina 2014 13.3 Core I5 8 Ram 251 Ssd (Reacondicionado),24/12/2023,5704056878
4 vendidos,9814.0,Reacondicionado,Macbook Pro Retina A1708 Mid 2017 13.3 I5 8 Gb Ram 256 Ssd M (Reacondicionado),24/12/2023,2042393522
+5 vendidos,5345.0,Reacondicionado,Macbook Pro 13 2012 Catalina I5 8 Ram 512 Ssd (Reacondicionado),24/12/2023,9677796208
